,Tour,City,State,Country,Cast,Lat,Long
443,Spring 2019,Bocholt,-,Germany,A19,51.8384277,6.6150917
444,Spring 2019,Skive,-,Denmark,A19,56.5651232,9.0309083
445,Fall 2019,Grand Island,Nebraska,USA,B19,40.9263957,-98.3420118
446,Fall 2019,Tulsa,Oklahoma,USA,B19,36.1539816,-95.99277500000001
447,Fall 2019,Lafayette,Louisiana,USA,B19,30.2240897,-92.0198427
448,Fall 2019,Ruston,Louisiana,USA,B19,32.5232053,-92.63792699999999
449,Fall 2019,Shreveport,Louisiana,USA,B19,32.5251516,-93.7501789
450,Fall 2019,Ottawa,Ontario,Canada,B19,45.4215296,-75.69719309999999
451,Fall 2019,Potenza,-,Italy,B19,40.6404067,15.8056041
452,Fall 2019,Sarnano,-,Italy,B19,43.0253761,13.2778918
453,Fall 2019,Agrigento,-,Italy,B19,37.3088512,13.5857528
454,Fall 2019,Palermo,-,Italy,B19,38.11569,13.3614868
455,Fall 2019,Brindisi,-,Italy,B19,40.6327278,17.9417616
456,Fall 2019,Donaueschingen,-,Germany,B19,47.95215229999999,8.4979461
457,Fall 2019,Nyon,-,Switzerland,B19,46.3832683,6.2347852
458,Fall 2019,Wartenberg,-,Germany,B19,48.404287,11.9875697
459,Spring 2020,Denver,Colorado,USA,A20,39.7392358,-104.990251
460,Spring 2020,Lafayette,Colorado,USA,A20,39.9935959,-105.0897058
461,Spring 2020,Flagstaff,Arizona,USA,A20,35.1982836,-111.651302
462,Spring 2020,Henderson,Nevada,USA,A20,36.0395247,-114.9817213
